Name,Price,Color,Mileage,Make,Model,Year,City,Date Displayed,Item URL,Fuel Type,Transmission Type
Skoda Kodiaq 2020,"1,950,000 EGP",Blue,"115,000 Km",Skoda,Kodiaq,2020,Port Said,2025-06-22,https://eg.hatla2ee.com/en/car/skoda/kodiaq/6998533,Gas,Automatic
"MG 5 2024 


Verified User","920,000 EGP",Black,"20,000 Km",MG,5,2024,Cairo,2025-06-22,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6998394,Gas,Automatic
"Kia Cerato 2018 


Verified User","790,000 EGP",Red,"150,000 Km",Kia,Cerato,2018,Cairo,2025-06-22,https://eg.hatla2ee.com/en/car/kia/cerato/6998401,Gas,Automatic
Kia Grand Cerato 2021,"890,000 EGP",Black,"170,000 Km",Kia,Grand Cerato,2021,Tagamo3 - New Cairo,2025-06-22,https://eg.hatla2ee.com/en/car/kia/Grand-Cerato/6998100,Gas,Automatic
Renault Kadjar 2018,"845,000 EGP",Red,"90,000 Km",Renault,Kadjar,2018,Al Shorouk,2025-06-22,https://eg.hatla2ee.com/en/car/renault/Kadjar/6982045,Gas,Automatic
Opel Crossland 2020,"800,000 EGP",Cyan,"121,000 Km",Opel,Crossland,2020,Dokki,2025-06-22,https://eg.hatla2ee.com/en/car/opel/Crossland/6964054,Gas,Automatic
"Hyundai Elantra CN7 2022 


Verified User","1,200,000 EGP",Dark green,"40,000 Km",Hyundai,Elantra CN7,2022,Mohandessin,2025-06-22,https://eg.hatla2ee.com/en/car/hyundai/Elantra-CN7/6998402,Gas,Automatic
Seat Ibiza 2021,"1,050,000 EGP",Red,"99,000 Km",Seat,Ibiza,2021,Nasr city,2025-06-22,https://eg.hatla2ee.com/en/car/seat/ibiza/6992512,Gas,Automatic
Mitsubishi Lancer EX Shark 2015,"670,000 EGP",Black,"162,000 Km",Mitsubishi,Lancer EX Shark,2015,Nasr city,2025-06-22,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6995459,Gas,Automatic
Skoda Superb 2024,"2,890,000 EGP",White,,Skoda,Superb,2024,Mansoura,2025-06-22,https://eg.hatla2ee.com/en/car/skoda/superb/6991220,Gas,Automatic
