Image,True Label,Predicted Label,Probability,Correct
00143.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9107572436332703,True
00952.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9963002800941467,True
02607.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999967813491821,True
02797.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9821245670318604,True
06241.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.995292067527771,True
03897.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9946363568305969,True
00687.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999839067459106,True
04069.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9376418590545654,True
04784.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9968991279602051,True
00147.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9892388582229614,True
01762.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9969474673271179,True
05692.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.8557315468788147,True
05111.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999996423721313,True
03349.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9998186230659485,True
02910.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9998618364334106,True
02765.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999977350234985,True
06432.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.6600362658500671,True
04948.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.999072790145874,True
07276.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999998807907104,True
04090.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999868869781494,True
01098.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.42292511463165283,True
02283.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999995231628418,True
05756.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9892644286155701,True
07037.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9987689852714539,True
00830.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999997615814209,True
05202.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.994717538356781,True
01223.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,1.0,True
07668.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9995588660240173,True
06687.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9997143149375916,True
03760.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.999884843826294,True
05604.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999750852584839,True
01926.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9998936653137207,True
01142.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999994039535522,True
02829.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9878623485565186,True
06996.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999867677688599,True
03942.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999802112579346,True
04418.jpg,Chevrolet Camaro Convertible 2012,Chevrolet Camaro Convertible 2012,0.9999569654464722,True
00223.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,1.0,True
04844.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9999759197235107,True
00683.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.999998927116394,True
07072.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9995439648628235,True
04886.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9999997615814209,True
00279.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9414018392562866,True
07701.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9999070167541504,True
02128.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9830753803253174,True
03741.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.999874472618103,True
01420.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9840796589851379,True
03340.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9967561364173889,True
03950.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9999823570251465,True
01733.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9976409673690796,True
00660.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9575639963150024,True
02396.jpg,Toyota 4Runner SUV 2012,Toyota 4Runner SUV 2012,0.9966267347335815,True
